material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap,thermo_type,rxn_energy_CaO_eV_per_atom,rxn_CaO,rxn_energy_CaAl2Si2O8_eV_per_atom,rxn_CaAl2Si2O8
mp-756888,La2(SiO3)3,La,P6_3/m,Hexagonal,0.030151866547617,-3.5578460950000013,4.04166779998787,415.8361493964515,28,4.3297,GGA_GGA+U,-0.10815159779757844,0.2222 La2(SiO3)3 + 0.7778 CaO -> 0.3333 Ca2SiO4 + 0.1111 CaLa4Si3O13,-1.784462247795997e-15,La2(SiO3)3 -> La2Si2O7 + SiO2
mp-852194,La2(SiO3)3,La,P-1,Triclinic,3.097199561904761,-0.490798399642857,5.124361903674961,327.976752360383,28,0.0,GGA_GGA+U,-0.10815159779757844,0.2222 La2(SiO3)3 + 0.7778 CaO -> 0.3333 Ca2SiO4 + 0.1111 CaLa4Si3O13,-1.784462247795997e-15,La2(SiO3)3 -> La2Si2O7 + SiO2
mp-727913,Y3Si3O11,Y,P2_1/c,Monoclinic,0.071555851985289,-3.49149591117647,3.982362921740687,878.925456818083,68,0.184899999999999,GGA_GGA+U,-0.08342022015086226,0.1429 Y3Si3O11 + 0.8571 CaO -> 0.4286 Ca2SiO4 + 0.2143 Y2O3 + 0.03571 O2,-1.784462247795997e-15,Y3Si3O11 -> 1.5 Y2Si2O7 + 0.25 O2
mp-556771,Nd2Si2O7,Nd,P2_12_12_1,Orthorhombic,0.003272966363651,-3.605712831136363,5.09877536756473,594.8773487986116,44,5.2351,GGA_GGA+U,-0.07545145052632485,0.2 Nd2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Nd2O3,-1.784462247795997e-15,Nd2Si2O7 -> Nd2Si2O7
mp-18130,Nd2Si2O7,Nd,P2_1/c,Monoclinic,0.005624540909105,-3.603361256590908,5.384392570053263,563.3218479733858,44,4.7764,GGA_GGA+U,-0.07545145052632485,0.2 Nd2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Nd2O3,-1.784462247795997e-15,Nd2Si2O7 -> Nd2Si2O7
mp-15225,Nd2Si2O7,Nd,P4_1,Tetragonal,0.0,-3.608985797500007,5.448964114516134,1113.292695283575,88,5.0173,GGA_GGA+U,-0.07545145052632485,0.2 Nd2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Nd2O3,-1.784462247795997e-15,Nd2Si2O7 -> Nd2Si2O7
mp-1209079,Sc2SiO5,Sc,C2/c,Monoclinic,0.017264488359376,-3.7030844584375,3.495989938892105,376.1764944566733,32,4.471299999999999,GGA_GGA+U,-0.09943449515612235,0.3333 Sc2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Sc2O3,-5.353386743387991e-15,Sc2SiO5 -> 0.5 Sc2Si2O7 + 0.5 Sc2O3
mp-3160,Pr2Si2O7,Pr,P4_1,Tetragonal,0.00813972352274,-3.5977467172348483,5.322604400060206,1123.0785535175307,88,5.026299999999999,GGA_GGA+U,-0.06348871703948111,0.2 Pr2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Pr2O3,-5.353386743387991e-15,Pr2Si2O7 -> Pr2Si2O7
mp-5913,Pr2Si2O7,Pr,P2_1/c,Monoclinic,0.0,-3.605886440757581,4.840443314183235,617.4747293341999,44,5.3706,GGA_GGA+U,-0.06348871703948111,0.2 Pr2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Pr2O3,-5.353386743387991e-15,Pr2Si2O7 -> Pr2Si2O7
mp-560132,Nd2SiO5,Nd,P2_1/c,Monoclinic,0.0,-3.710467645625,5.949308169357658,442.75007917495594,32,4.7758,GGA_GGA+U,-0.02802815458334873,0.3333 Nd2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Nd2O3,-5.353386743387991e-15,Nd2SiO5 -> Nd2SiO5
mp-7640,Sc2Si2O7,Sc,Fd-3m,Cubic,0.085059005454555,-3.522388262272726,4.163948123872764,205.838125095464,22,3.7458,GGA_GGA+U,-0.12560146756569868,0.2 Sc2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Sc2O3,-5.353386743387991e-15,Sc2Si2O7 -> Sc2Si2O7
mp-5594,Sc2Si2O7,Sc,C2/m,Monoclinic,0.0,-3.607447267727273,3.373334353584162,127.0403679229244,11,4.2788,GGA_GGA+U,-0.12560146756569868,0.2 Sc2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Sc2O3,-5.353386743387991e-15,Sc2Si2O7 -> Sc2Si2O7
mp-1224635,GdSiO4,Gd,Pna2_1,Orthorhombic,0.187522508333326,-3.139723621666666,5.4913190637229,301.58681245215433,24,0.0,GGA_GGA+U,-0.0887395012500014,0.3333 GdSiO4 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.1667 Gd2O3 + 0.08333 O2,-7.137848991183988e-15,GdSiO4 -> 0.5 Gd2Si2O7 + 0.25 O2
mp-1210042,Nd5Si3O13,Nd,P6_3,Hexagonal,0.059154129374991,-3.593851992738096,5.832056009104907,577.1164615388992,42,0.0,GGA_GGA+U,-0.03609605287147488,0.1507 Nd5Si3O13 + 0.8493 CaO -> 0.0137 NdSi2 + 0.4247 Ca2SiO4 + 0.3699 Nd2O3,-7.137848991183988e-15,Nd5Si3O13 -> 2.25 Nd2SiO5 + 0.25 Nd2Si2O7 + 0.25 Si
mp-10523,CeSiO4,Ce,I4_1/amd,Tetragonal,0.036410676944445,-3.563593093333333,4.936797895877379,156.2047646719938,12,1.447799999999999,GGA_GGA+U,-0.13107906324985663,0.3333 CeSiO4 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 CeO2,-8.922311238979986e-15,CeSiO4 -> CeO2 + SiO2
mp-756013,PrSiO4,Pr,I4_1/amd,Tetragonal,0.108305478749999,-3.197090425277776,4.511347897173616,171.51869079918345,12,0.0,GGA_GGA+U,-0.06031428118750659,0.3333 PrSiO4 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.1667 Pr2O3 + 0.08333 O2,-1.0658141036401503e-14,CaAl2(SiO4)2 -> CaAl2(SiO4)2
mp-1101436,NdSiO4,Nd,I4_1/amd,Tetragonal,0.095422167291667,-3.212814813749999,4.6530106879817374,168.67662134615404,12,0.0,GGA_GGA+U,-0.07418941987502237,0.3333 NdSiO4 + 0.6667 CaO -> 0.3333 NdO2 + 0.3333 Ca2SiO4,-1.0658141036401503e-14,CaAl2(SiO4)2 -> CaAl2(SiO4)2
mp-554546,Eu2SiO4,Eu,P2_1/c,Monoclinic,0.0,-3.3505540007142898,6.787915417570968,387.5074227678318,28,0.288899999999999,GGA_GGA+U,-0.013832226136319292,0.3333 Eu2SiO4 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.6667 EuO,-1.2491235734571969e-14,Eu2SiO4 -> Eu2SiO4
mp-504653,Eu2SiO4,Eu,Pnma,Orthorhombic,0.013404185714287,-3.337149815000003,6.83081384654338,385.07382407441986,28,0.056899999999999,GGA_GGA+U,-0.013832226136319292,0.3333 Eu2SiO4 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.6667 EuO,-1.2491235734571969e-14,Eu2SiO4 -> Eu2SiO4
mp-867966,Eu2SiO5,Eu,C2/c,Monoclinic,0.107561587083333,-3.272983015000003,5.815797886710778,470.55248096755093,32,0.0,GGA_GGA+U,-0.06569112052076864,0.3333 Eu2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Eu2O3,-1.6060160230163958e-14,Eu2SiO5 -> Eu2SiO5
mp-867713,Eu2SiO5,Eu,Pnma,Orthorhombic,0.178768655833334,-3.201775946250002,6.244434632296064,438.252345575654,32,0.0,GGA_GGA+U,-0.06569112052076864,0.3333 Eu2SiO5 + 0.6667 CaO -> 0.3333 Ca2SiO4 + 0.3333 Eu2O3,-1.6060160230163958e-14,Eu2SiO5 -> Eu2SiO5
mp-582983,Ce2Si2O7,Ce,Pca2_1,Orthorhombic,0.034442322954545,-3.529373961363638,5.110272583478441,1748.439941674672,132,0.0,GGA_GGA+U,-0.10665859063862504,0.2128 Ce2Si2O7 + 0.7872 CaO -> 0.3936 Ca2SiO4 + 0.01596 CeSi2 + 0.05851 Ce7O12,-1.6060160230163974e-14,Ce2Si2O7 -> Ce2Si2O7
